method_name,implementation,model_pair,rtt_ms,method_time,speedup_vs_target_only,prefill_time_share,draft_generate_time_share,draft_structure_time_share,uplink_transfer_time_share,network_wait_time_share,cloud_verify_time_share,downlink_transfer_time_share,posterior_accept_time_share,cache_update_time_share,sampling_time_share,prefill_time_percent,draft_generate_time_percent,draft_structure_time_percent,uplink_transfer_time_percent,network_wait_time_percent,cloud_verify_time_percent,downlink_transfer_time_percent,posterior_accept_time_percent,cache_update_time_percent,sampling_time_percent
dsd-adaptive-draft,kv-cache,qwen25-1p5b-local,0.0,2.3742668092871706,0.34979185451149014,0.018611379470490762,0.16960143319057663,0.0,4.4342109988695143e-05,0.0,0.34574845888592287,3.692929524896332e-05,4.310777976494833e-05,0.4558879138847825,0.0044409385489506455,1.861137947049076,16.960143319057664,0.0,0.004434210998869514,0.0,34.574845888592286,0.003692929524896332,0.004310777976494833,45.58879138847825,0.44409385489506453
dsd-adaptive-draft,kv-cache,qwen25-1p5b-local,5.0,2.5072402083004515,0.33161331361877816,0.019298726899433686,0.160646893850896,0.0,4.19903923251473e-05,0.027320876465375912,0.3363894648334647,3.497072187567319e-05,4.311225330130155e-05,0.44578517641041754,0.004051715867120477,1.9298726899433687,16.0646893850896,0.0,0.00419903923251473,2.7320876465375914,33.63894648334647,0.003497072187567319,0.004311225330130155,44.578517641041756,0.40517158671204767
dsd-adaptive-draft,kv-cache,qwen25-1p5b-local,10.0,2.6470877808208266,0.31418033064492573,0.017619771399162352,0.1547595490863762,0.0,3.97720093616518e-05,0.0517549893859274,0.3332683187279021,3.312319320698598e-05,4.832710771701508e-05,0.4322605798905305,0.003896113192830554,1.7619771399162352,15.47595490863762,0.0,0.00397720093616518,5.175498938592741,33.32683187279021,0.003312319320698598,0.004832710771701509,43.226057989053054,0.3896113192830554
dsd-adaptive-draft,kv-cache,qwen25-1p5b-local,20.0,2.9224784199148415,0.2862037364220539,0.016537126578298044,0.14005109556844392,0.0,3.602421810286208e-05,0.09375603875562037,0.32116608183169043,3.0001932401791667e-05,7.839220146368179e-05,0.4184096980732302,0.0036930467817244666,1.6537126578298045,14.005109556844392,0.0,0.0036024218102862077,9.375603875562037,32.11660818316904,0.0030001932401791664,0.007839220146368179,41.84096980732302,0.36930467817244667
dsd-adaptive-draft,kv-cache,qwen25-1p5b-local,50.0,3.1490940919766826,0.26532265861667736,0.0144802440817811,0.12877915265697526,0.0,3.343183687910572e-05,0.21752287483097293,0.2731398844671253,2.7842927978358173e-05,3.9023251117592204e-05,0.35727179136793763,0.003255065975868065,1.4480244081781102,12.877915265697526,0.0,0.003343183687910572,21.752287483097295,27.31398844671253,0.0027842927978358172,0.0039023251117592203,35.727179136793765,0.3255065975868065
dsd-adaptive-draft,kv-cache,qwen25-1p5b-local,100.0,3.914808745495975,0.21554843378831925,0.01195760560120695,0.10498558856433414,0.0,2.689275692485505e-05,0.3499532388590372,0.2273449686219832,2.239700728697326e-05,4.4867818355272784e-05,0.2982481209271058,0.0027066534927083045,1.195760560120695,10.498558856433414,0.0,0.002689275692485505,34.995323885903716,22.73449686219832,0.002239700728697326,0.004486781835527278,29.82481209271058,0.27066534927083047
dsd-adaptive-draft,kv-cache,qwen25-1p5b-local,150.0,4.636350552986065,0.18270324245535455,0.009849012542660766,0.08806533353520538,0.0,2.270751505882442e-05,0.4432365448890544,0.19494245144309152,1.8911425915262005e-05,4.126000131477594e-05,0.25733970188559774,0.0023765915296430937,0.9849012542660766,8.806533353520537,0.0,0.002270751505882442,44.32365448890544,19.494245144309154,0.0018911425915262006,0.004126000131477594,25.733970188559773,0.23765915296430937
dsd-adaptive-draft,kv-cache,qwen25-1p5b-local,200.0,5.310665975386898,0.16048292766772634,0.008534431467585597,0.07690413428097691,0.0,1.982425565604322e-05,0.5159428238753774,0.17117184827194432,1.65101703640083e-05,3.927668163862392e-05,0.22172474283467597,0.0020571023204207853,0.8534431467585597,7.690413428097691,0.0,0.001982425565604322,51.59428238753774,17.117184827194432,0.0016510170364008301,0.003927668163862392,22.172474283467597,0.20571023204207853
target-only,kv-cache,qwen25-1p5b-local,0.0,0.8301763997723659,1.0,0.03221086508098427,0.0,0.0,0.0,0.0,0.9537041223053957,0.0,0.0,0.0048041173088384645,0.006636326797290871,3.2210865080984274,0.0,0.0,0.0,0.0,95.37041223053957,0.0,0.0,0.4804117308838464,0.6636326797290871
target-only,kv-cache,qwen25-1p5b-local,5.0,0.8301763997723659,1.0,0.03221086508098427,0.0,0.0,0.0,0.0,0.9537041223053957,0.0,0.0,0.0048041173088384645,0.006636326797290871,3.2210865080984274,0.0,0.0,0.0,0.0,95.37041223053957,0.0,0.0,0.4804117308838464,0.6636326797290871
