method_name,implementation,target_verify_mode,model_pair,target,draft,prompt_id,repeat,rtt_ms,upload_token_bytes,upload_bandwidth_mbps,uplink_bandwidth_mbps,downlink_token_bytes,downlink_fixed_bytes,downlink_bandwidth_mbps,max_new_tokens,draft_k,tree_width,generated_tokens,accepted_tokens,drafted_tokens,accept_rate,rounds,target_only_time,method_time,speedup_vs_target_only,matched_target_only,first_diff_index,extra_json,prefill_time,draft_generate_time,draft_structure_time,upload_wait_time,upload_latency_time,upload_transfer_time,upload_payload_bytes,uplink_transfer_time,network_wait_time,downlink_transfer_time,downlink_payload_bytes,cloud_verify_time,target_verify_time,posterior_accept_time,cache_update_time,sampling_time,wasted_branch_time_or_tokens,total_decode_time
vanilla-spec,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,20.0,4,0.0,10.0,4,4,10.0,32,4,2,32,18,58,0.3103448275862069,15,0.9435477163642645,4.453272869810462,0.21187736389583137,True,-1,"{""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.05989154241979122,1.0486446972936392,0.0,0.30028160000000004,0.3000000000000001,0.00018559999999999996,232.0,0.00018559999999999996,0.3000000000000001,9.599999999999998e-05,120.0,1.5990432612597942,1.5990432612597942,0.00018506310880184174,1.4167468938976526,0.0069512296468019485,0.0,4.453272869810462
dsd-adaptive-draft,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,20.0,4,0.0,10.0,4,4,10.0,32,4,2,32,14,34,0.4117647058823529,19,0.9435477163642645,3.290315952152014,0.28676507973258375,True,-1,"{""draft_k_history"": [4, 3, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 3, 2, 1, 2, 1, 2, 2], ""mean_draft_k"": 1.7894736842105263, ""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.05247362703084946,0.3509597107768059,0.0,0.3802304000000002,0.38000000000000017,0.00010879999999999999,136.0,0.00010879999999999999,0.38000000000000017,0.00012159999999999995,152.0,1.0366823393851519,1.0366823393851519,0.00031411275267601013,1.4377986565232277,0.0061433035880327225,0.0,3.290315952152014
target-only,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,50.0,4,0.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9435477163642645,0.9435477163642645,1.0,True,-1,{},0.05797780491411686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8802366629242897,0.8802366629242897,0.0,0.0018229354172945023,0.0013131722807884216,0.0,0.9435477163642645
vanilla-spec,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,50.0,4,0.0,10.0,4,4,10.0,32,4,2,32,18,58,0.3103448275862069,15,0.9435477163642645,4.689803903922439,0.20119129406990854,True,-1,"{""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.050149982795119286,1.0816254206001759,0.0,0.7502815999999998,0.7500000000000003,0.00018559999999999996,232.0,0.00018559999999999996,0.7500000000000003,9.599999999999998e-05,120.0,1.5360966343432665,1.5360966343432665,0.00010909326374530792,1.243836734443903,0.006765913218259811,0.0,4.689803903922439
dsd-adaptive-draft,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,50.0,4,0.0,10.0,4,4,10.0,32,4,2,32,14,34,0.4117647058823529,19,0.9435477163642645,3.7618500888347626,0.25082012682130284,True,-1,"{""draft_k_history"": [4, 3, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 3, 2, 1, 2, 1, 2, 2], ""mean_draft_k"": 1.7894736842105263, ""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.051598142832517624,0.3661700524389744,0.0,0.9502303999999997,0.9500000000000005,0.00010879999999999999,136.0,0.00010879999999999999,0.9500000000000005,0.00012159999999999995,152.0,0.9450582526624203,0.9450582526624203,0.00016799382865428925,1.4169307630509138,0.005726894363760948,0.0,3.7618500888347626
target-only,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,100.0,4,0.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9435477163642645,0.9435477163642645,1.0,True,-1,{},0.05797780491411686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8802366629242897,0.8802366629242897,0.0,0.0018229354172945023,0.0013131722807884216,0.0,0.9435477163642645
vanilla-spec,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,100.0,4,0.0,10.0,4,4,10.0,32,4,2,32,18,58,0.3103448275862069,15,0.9435477163642645,5.41484990157187,0.17425186912205326,True,-1,"{""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.05950162746012211,1.050848364830017,0.0,1.5002815999999999,1.5000000000000007,0.00018559999999999996,232.0,0.00018559999999999996,1.5000000000000007,9.599999999999998e-05,120.0,1.5126475729048252,1.5126475729048252,0.00020243600010871887,1.2599513232707977,0.008149635046720505,0.0,5.41484990157187
dsd-adaptive-draft,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,100.0,4,0.0,10.0,4,4,10.0,32,4,2,32,14,34,0.4117647058823529,19,0.9435477163642645,4.7644605450332165,0.19803873018696314,True,-1,"{""draft_k_history"": [4, 3, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 3, 2, 1, 2, 1, 2, 2], ""mean_draft_k"": 1.7894736842105263, ""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.049158066511154175,0.3565636295825243,0.0,1.9002304,1.900000000000001,0.00010879999999999999,136.0,0.00010879999999999999,1.900000000000001,0.00012159999999999995,152.0,0.9813992157578468,0.9813992157578468,0.00026590563356876373,1.4376590512692928,0.006775990128517151,0.0,4.7644605450332165
target-only,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,150.0,4,0.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9435477163642645,0.9435477163642645,1.0,True,-1,{},0.05797780491411686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8802366629242897,0.8802366629242897,0.0,0.0018229354172945023,0.0013131722807884216,0.0,0.9435477163642645
vanilla-spec,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,150.0,4,0.0,10.0,4,4,10.0,32,4,2,32,18,58,0.3103448275862069,15,0.9435477163642645,6.253947680816054,0.15087233928396798,True,-1,"{""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.04994954727590084,1.03029097430408,0.0,2.2502815999999997,2.25,0.00018559999999999996,232.0,0.00018559999999999996,2.25,9.599999999999998e-05,120.0,1.5916045773774385,1.5916045773774385,0.00024600327014923096,1.30035849660635,0.00859418697655201,0.0,6.253947680816054
