group,method,model_pair,method_name,implementation,target_verify_mode,temperature,top_k,top_p,sampling_filter,stochastic_seed,seed_strategy,rtt_ms,method_time,speedup_vs_target_only,prefill_percent,draft_generation_percent,draft_structure_percent,uplink_transfer_percent,network_wait_percent,cloud_verification_percent,downlink_transfer_percent,posterior_accept_percent,cache_update_percent,probability_normalize_percent,random_sample_percent,accept_reject_percent,resample_percent,sampling_argmax_percent
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.926321839913726,1.0,2.9170587410760893,0.0,0.0,0.0,0.0,93.58092297877266,0.0,0.0,0.3179232884615443,1.9051229538906616,0.9700671737493112,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9653419144451618,1.0,3.02669994087993,0.0,0.0,0.0,0.0,93.59997329855024,0.0,0.0,0.3367073576791785,1.926563897085999,0.8009556998088504,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9584648478776217,1.0,2.852292378493414,0.0,0.0,0.0,0.0,93.1515333026436,0.0,0.0,0.3209133669419902,2.5458831071763632,0.8182228809125953,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9455852285027504,1.0,2.831828621110235,0.0,0.0,0.0,0.0,93.12315914658032,0.0,0.0,0.5972851317992826,2.2516438080528003,0.8914121506291046,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9461943227797748,1.0,4.222495624859071,0.0,0.0,0.0,0.0,92.4680885109954,0.0,0.0,0.3116821294734298,1.8517420095631356,0.8332005060417085,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9732606802135706,1.0,3.340298812925393,0.0,0.0,0.0,0.0,92.96364210728667,0.0,0.0,0.3277917104785363,2.2856400338968736,0.7709612756275177,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9423514101654292,1.0,2.929040544528735,0.0,0.0,0.0,0.0,93.71708682434156,0.0,0.0,0.3010645567886242,1.9429898768337628,0.8036368345614244,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,1.0634306203573942,1.0,3.907395943327172,0.0,0.0,0.0,0.0,92.66530360021898,0.0,0.0,0.4253268188217025,1.721896495726373,0.9220043445744032,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.929067261517048,1.0,3.1124836651431167,0.0,0.0,0.0,0.0,94.0824866075485,0.0,0.0,0.2188052640788159,1.594888219589869,0.6930017897661392,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,1.3383375499397516,1.0,3.018547846955697,0.0,0.0,0.0,0.0,93.61882690799028,0.0,0.0,0.2785039128945828,1.931972977675504,0.8473759390417634,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,1.135969432070851,1.0,2.4417004869792067,0.0,0.0,0.0,0.0,94.44231366789798,0.0,0.0,0.2452223567474795,1.7510302971731,0.8115692790358372,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9645480401813984,1.0,2.71033137778786,0.0,0.0,0.0,0.0,93.25477013374996,0.0,0.0,0.5198699424379177,2.2384177658290763,0.9667929099325994,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9449938833713531,1.0,3.027050741825601,0.0,0.0,0.0,0.0,93.35752886278992,0.0,0.0,0.5182196179203918,1.92940340757229,0.8618915016251104,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9957734402269124,1.0,2.872021033898698,0.0,0.0,0.0,0.0,93.37591936068976,0.0,0.0,0.4410103037532807,1.8952038872222627,1.1003715391565396,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,1.1239293161779642,1.0,3.641977372751347,0.0,0.0,0.0,0.0,92.42707182466847,0.0,0.0,0.4510049127753486,2.2459356428522,0.9095323026986653,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,1.1003812849521637,1.0,4.021538400975291,0.0,0.0,0.0,0.0,92.39600745005733,0.0,0.0,0.4762699102277744,1.9358716998492165,0.8517800744577786,0.0,0.0,0.0
