method,rtt_ms,method_time,rounds,uplink_transfer_time,network_wait_time,cloud_verify_time,downlink_transfer_time,edge_cloud_cycle_time,network_only_time,cloud_verify_share_of_cycle_percent,uplink_share_of_cycle_percent,wait_share_of_cycle_percent,downlink_share_of_cycle_percent,network_cycle_share_of_method_time_percent,cloud_verify_per_round_ms,network_wait_per_round_ms,upload_payload_bytes,downlink_payload_bytes,speedup_vs_target_only
dsd-adaptive-draft / kv-cache,0.0,2.3742668092871706,13.7,0.00010527999999992,0.0,0.8208990902950366,8.767999999998e-05,0.8210920502950365,0.00019295999999989998,99.97649958979258,0.012821948521129948,0.0,0.010678461686296273,34.582973029116054,59.919641627374936,0.0,131.6,109.6,0.34979185451149014
dsd-adaptive-draft / kv-cache,5.0,2.5072402083004515,13.7,0.00010527999999992,0.0685,0.8434091918791334,8.767999999998e-05,0.9121021518791333,0.0686929599999999,92.46872076132293,0.011542566781913602,7.510123713541818,0.009612958353331333,36.37873024130414,61.562714735703175,5.000000000000001,131.6,109.6,0.33161331361877816
dsd-adaptive-draft / kv-cache,10.0,2.6470877808208266,13.7,0.00010527999999992,0.137,0.8821904942393303,8.767999999998e-05,1.0193834542393303,0.13719295999999992,86.54157476958714,0.010327811341462328,13.439496141540788,0.008601277530584142,38.509620331639816,64.39346673279783,10.000000000000002,131.6,109.6,0.31418033064492573
dsd-adaptive-draft / kv-cache,20.0,2.9224784199148415,13.7,0.00010527999999992,0.2740000000000001,0.9386009433617194,8.767999999998e-05,1.2127939033617194,0.27419296,77.39162777451553,0.008680782423798179,22.59246185526699,0.007229587793683786,41.49881467378155,68.51101776362916,20.000000000000007,131.6,109.6,0.2862037364220539
dsd-adaptive-draft / kv-cache,50.0,3.1490940919766826,13.7,0.00010527999999992,0.6850000000000003,0.8601431964586178,8.767999999998e-05,1.5453361564586179,0.6851929600000002,55.66058833631201,0.006812757182954016,44.32692506009735,0.005673846407691164,49.072403406295564,62.784174923986704,50.00000000000002,131.6,109.6,0.26532265861667736
dsd-adaptive-draft / kv-cache,100.0,3.914808745495975,13.7,0.00010527999999992,1.3700000000000006,0.8900120714058478,8.767999999998e-05,2.260205031405848,1.3701929600000005,39.37749270703375,0.004657984498620278,60.61397001438671,0.003879294080919863,57.73474972452321,64.96438477414948,100.00000000000004,131.6,109.6,0.21554843378831925
dsd-adaptive-draft / kv-cache,150.0,4.636350552986065,13.7,0.00010527999999992,2.055,0.9038215425486366,8.767999999998e-05,2.9590145025486367,2.0551929600000003,30.544681067638013,0.003557941331792764,69.44879784232225,0.0029631487079384068,63.822061527312,65.97237536851362,150.00000000000003,131.6,109.6,0.18270324245535455
dsd-adaptive-draft / kv-cache,200.0,5.310665975386898,13.7,0.00010527999999992,2.740000000000001,0.9090365105619033,8.767999999998e-05,3.6492294705619046,2.7401929600000012,24.910368555746942,0.0028849925949904457,75.08434375265797,0.002402699000084506,68.71510065733418,66.35302996802214,200.00000000000009,131.6,109.6,0.16048292766772634
target-only / kv-cache,0.0,0.8301763997723659,0.0,0.0,0.0,0.7917426547035575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target-only / kv-cache,5.0,0.8301763997723659,0.0,0.0,0.0,0.7917426547035575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target-only / kv-cache,10.0,0.8301763997723659,0.0,0.0,0.0,0.7917426547035575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target-only / kv-cache,20.0,0.8301763997723659,0.0,0.0,0.0,0.7917426547035575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target-only / kv-cache,50.0,0.8301763997723659,0.0,0.0,0.0,0.7917426547035575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target-only / kv-cache,100.0,0.8301763997723659,0.0,0.0,0.0,0.7917426547035575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target-only / kv-cache,150.0,0.8301763997723659,0.0,0.0,0.0,0.7917426547035575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target-only / kv-cache,200.0,0.8301763997723659,0.0,0.0,0.0,0.7917426547035575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
vanilla-spec / kv-cache,0.0,3.1899352273593347,12.8,0.00016159999999994001,0.0,1.2628139089172086,8.191999999997998e-05,1.2630574289172085,0.00024351999999991999,99.98071979987412,0.012794350937666876,0.0,0.006485849188204229,39.59508074283947,98.65733663415692,0.0,202.0,102.4,0.2724534395984352
vanilla-spec / kv-cache,5.0,3.3002355357632043,12.8,0.00016159999999994001,0.064,1.2873443802197775,8.191999999997998e-05,1.3515879002197775,0.06424351999999993,95.24681154739892,0.011956307094319411,4.73517112646489,0.006061019041873579,40.95428600695958,100.57377970467012,5.0,202.0,102.4,0.26330219623097484
vanilla-spec / kv-cache,10.0,3.4325979609042405,12.8,0.00016159999999994001,0.128,1.3179188413545488,8.191999999997998e-05,1.4461623613545487,0.12824351999999992,91.13214923669562,0.011174402288314107,8.85101171351941,0.005664647496651038,42.13025754328625,102.96240948082412,10.0,202.0,102.4,0.25403151625449655
vanilla-spec / kv-cache,20.0,3.6285243947058916,12.8,0.00016159999999994001,0.25600000000000006,1.3438062417010466,8.191999999997998e-05,1.6000497617010465,0.25624351999999995,83.98527807487798,0.01009968588902758,15.999502398465475,0.0051198407675077,44.096431156300326,104.98486263289426,20.000000000000004,202.0,102.4,0.24095521937080383
vanilla-spec / kv-cache,50.0,3.9264040537178517,12.8,0.00016159999999994001,0.6400000000000002,1.3146146695440015,8.191999999997998e-05,1.9548581895440016,0.6402435200000002,67.24859514493244,0.008266584290578924,32.73894768547325,0.004190585303739551,49.787494175312304,102.70427105812512,50.000000000000014,202.0,102.4,0.22277890775815432
vanilla-spec / kv-cache,100.0,4.606650405501326,12.8,0.00016159999999994001,1.2800000000000005,1.3368436303610602,8.191999999997998e-05,2.6170871503610607,1.2802435200000004,51.08135700320968,0.006174803921896343,48.909337995236726,0.0031301976316943847,56.811064873420804,104.44090862195783,100.00000000000003,202.0,102.4,0.19042700294823942
vanilla-spec / kv-cache,150.0,5.30187649888297,12.8,0.00016159999999994001,1.9200000000000002,1.3475507092972596,8.191999999997998e-05,3.2677942292972597,1.92024352,41.2373183481339,0.004945231818794543,58.75522953025401,0.002506889793290225,61.63467274248538,105.2773991638484,150.0,202.0,102.4,0.16640052097648414
vanilla-spec / kv-cache,200.0,5.914279951900244,12.8,0.00016159999999994001,2.560000000000001,1.335474780201912,8.191999999997998e-05,3.8957183002019127,2.5602435200000007,34.280578760858944,0.004148143873533268,65.71317027381876,0.0021028214487616857,65.86969727312668,104.33396720327437,200.00000000000006,202.0,102.4,0.1492620605662239
