method_name,implementation,model_pair,rtt_ms,method_time,speedup_vs_target_only,prefill_time_share,draft_generate_time_share,draft_structure_time_share,uplink_transfer_time_share,network_wait_time_share,cloud_verify_time_share,downlink_transfer_time_share,posterior_accept_time_share,cache_update_time_share,sampling_time_share,prefill_time_percent,draft_generate_time_percent,draft_structure_time_percent,uplink_transfer_time_percent,network_wait_time_percent,cloud_verify_time_percent,downlink_transfer_time_percent,posterior_accept_time_percent,cache_update_time_percent,sampling_time_percent
dsd-adaptive-draft,kv-cache,smollm-local,0.0,2.8670806641379993,0.3143334379856785,0.01879623674480447,0.20757920519054687,0.0,4.163119701965418e-05,0.0,0.3491736201615965,2.901906494667964e-05,3.357019703006406e-05,0.41501588528669503,0.004181487664994539,1.8796236744804469,20.757920519054686,0.0,0.004163119701965418,0.0,34.91736201615965,0.0029019064946679642,0.0033570197030064063,41.5015885286695,0.41814876649945387
dsd-adaptive-draft,kv-cache,smollm-local,5.0,2.9656594479456544,0.30367855993005044,0.01789791455102533,0.19926124790815733,0.0,4.0247372328151847e-05,0.02191755363045013,0.3431580407314307,2.8054468646972794e-05,3.548365441656533e-05,0.4077526226156475,0.004084421993531622,1.7897914551025331,19.926124790815734,0.0,0.004024737232815184,2.191755363045013,34.31580407314307,0.0028054468646972796,0.003548365441656533,40.77526226156475,0.40844219935316217
dsd-adaptive-draft,kv-cache,smollm-local,10.0,3.1025180236746865,0.2905847500571518,0.017350394962706912,0.1926038280703102,0.0,3.8471976339591915e-05,0.04190144876129529,0.33991990942872446,2.681692720722576e-05,3.953479635413025e-05,0.3981936970288803,0.004057702986547164,1.7350394962706912,19.26038280703102,0.0,0.0038471976339591917,4.190144876129529,33.99199094287245,0.002681692720722576,0.0039534796354130245,39.81936970288803,0.4057702986547164
dsd-adaptive-draft,kv-cache,smollm-local,20.0,3.318767808439831,0.2712215006066863,0.01613090118098446,0.1810883955303138,0.0,3.596515540991755e-05,0.07834232914360685,0.3250625274002623,2.506954532595118e-05,7.304672782501277e-05,0.3893340486340735,0.003944853577112672,1.613090118098446,18.10883955303138,0.0,0.003596515540991755,7.834232914360685,32.506252740026234,0.0025069545325951182,0.007304672782501277,38.93340486340735,0.3944853577112672
dsd-adaptive-draft,kv-cache,smollm-local,50.0,3.593086537408332,0.25099981386872794,0.01545617132526337,0.16698564552538236,0.0,3.321935020414608e-05,0.18090296274045228,0.2861161382051333,2.3155579230775104e-05,3.545593309177889e-05,0.3419776576377291,0.003302080068210229,1.545617132526337,16.698564552538237,0.0,0.0033219350204146078,18.09029627404523,28.61161382051333,0.0023155579230775105,0.003545593309177889,34.19776576377291,0.3302080068210229
dsd-adaptive-draft,kv-cache,smollm-local,100.0,4.261643211605648,0.2120904011013998,0.013547963697941942,0.14167968870486025,0.0,2.800797581433361e-05,0.30504665347388454,0.24252229054676908,1.9522985822326258e-05,3.192487916554509e-05,0.2897913387799502,0.002753102571927614,1.3547963697941943,14.167968870486025,0.0,0.0028007975814333614,30.504665347388453,24.252229054676906,0.0019522985822326257,0.003192487916554509,28.97913387799502,0.2753102571927614
dsd-adaptive-draft,kv-cache,smollm-local,150.0,4.9433273122335475,0.18293709466435937,0.011128764263327482,0.12160031380400614,0.0,2.4145680118041685e-05,0.3944711480411622,0.21453843965373404,1.6830768983087564e-05,3.5863486233767895e-05,0.25170390419924293,0.0024675589596846043,1.1128764263327482,12.160031380400614,0.0,0.0024145680118041685,39.44711480411622,21.453843965373405,0.0016830768983087565,0.0035863486233767895,25.170390419924292,0.24675589596846043
dsd-adaptive-draft,kv-cache,smollm-local,200.0,5.63847526765118,0.160579755296206,0.009956465008300771,0.10570438134943617,0.0,2.1168843407854798e-05,0.46111756753046523,0.19123585975080645,1.4755762160973109e-05,3.66516833475104e-05,0.22605459713651618,0.002215081675500262,0.9956465008300771,10.570438134943618,0.0,0.00211688434078548,46.11175675304652,19.123585975080644,0.001475576216097311,0.0036651683347510397,22.60545971365162,0.2215081675500262
target-only,kv-cache,smollm-local,0.0,0.8975890961786112,1.0,0.03472518805712589,0.0,0.0,0.0,0.0,0.9538315708395181,0.0,0.0,0.00441718402884396,0.004567274253889533,3.472518805712589,0.0,0.0,0.0,0.0,95.38315708395182,0.0,0.0,0.44171840288439607,0.45672742538895333
target-only,kv-cache,smollm-local,5.0,0.8975890961786112,1.0,0.03472518805712589,0.0,0.0,0.0,0.0,0.9538315708395181,0.0,0.0,0.00441718402884396,0.004567274253889533,3.472518805712589,0.0,0.0,0.0,0.0,95.38315708395182,0.0,0.0,0.44171840288439607,0.45672742538895333
