group,method,rtt_ms,method_time,rounds,uplink_transfer_time,network_wait_time,cloud_verify_time,downlink_transfer_time,edge_cloud_cycle_time,network_only_time,cloud_verify_share_of_cycle_percent,uplink_share_of_cycle_percent,wait_share_of_cycle_percent,downlink_share_of_cycle_percent,network_cycle_share_of_method_time_percent,cloud_verify_per_round_ms,network_wait_per_round_ms,upload_payload_bytes,downlink_payload_bytes,speedup_vs_target_only
Qwen2.5-1.5B,target-only-sampling / kv-cache,5.0,0.9912082776427268,0.0,0.0,0.0,0.9139112457633018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,5.0,0.9327530656009912,0.0,0.0,0.0,0.860676197335124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,5.0,1.3460441455245018,0.0,0.0,0.0,1.248034916818142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,5.0,1.0139182601124048,0.0,0.0,0.0,0.9350742027163506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,5.0,0.9563081879168748,0.0,0.0,0.0,0.8955968450754881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,5.0,0.9544175527989864,0.0,0.0,0.0,0.8792648054659367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,5.0,0.926321839913726,0.0,0.0,0.0,0.8668605275452137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,5.0,0.9653419144451618,0.0,0.0,0.0,0.9035597741603852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,5.0,0.9584648478776217,0.0,0.0,0.0,0.8928247019648552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,5.0,0.9455852285027504,0.0,0.0,0.0,0.8805588372051716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
