method,rtt_ms,method_time,rounds,uplink_transfer_time,network_wait_time,cloud_verify_time,downlink_transfer_time,edge_cloud_cycle_time,network_only_time,cloud_verify_share_of_cycle_percent,uplink_share_of_cycle_percent,wait_share_of_cycle_percent,downlink_share_of_cycle_percent,network_cycle_share_of_method_time_percent,cloud_verify_per_round_ms,network_wait_per_round_ms,upload_payload_bytes,downlink_payload_bytes,speedup_vs_target_only
traditional-spec-sampling / kv-cache,5.0,4.537544520571828,26.0,0.0003167999999999,0.13,0.8157877139747143,0.0001663999999999,0.9462709139747141,0.1304831999999998,86.21079882378308,0.03347878449198169,13.738137575628137,0.017584816096793448,20.854250788826718,31.376450537489013,5.0,396.0,208.0,0.223450867647824
traditional-spec-sampling / kv-cache,5.0,4.564989648759365,25.0,0.0003103999999999,0.125,0.8172181341797113,0.0001599999999999,0.9426885341797112,0.12547039999999982,86.69015316822761,0.03292710038846471,13.259946999224919,0.01697273215899729,20.650398066858866,32.688725367188454,5.0,388.0,200.0,0.2094874822283052
traditional-spec-sampling / kv-cache,5.0,4.701888591051102,27.0,0.0003359999999999,0.135,0.8419150561094284,0.0001727999999999,0.9774238561094282,0.1355087999999998,86.13612721308198,0.03437607931295294,13.811817581101273,0.017679126503799398,20.787899100155542,31.182039115164017,5.0,420.0,216.0,0.2029859989910198
traditional-spec-sampling / kv-cache,5.0,4.560997229069471,26.0,0.0003135999999999,0.13,0.803097452968359,0.0001663999999999,0.9335774529683588,0.1304799999999998,86.02365560724161,0.0335912139911683,13.924929269302524,0.01782390946469652,20.468713443152563,30.888363575706116,5.0,392.0,208.0,0.2030963391097505
traditional-spec-sampling / kv-cache,5.0,5.860526917502284,27.0,0.0003295999999999,0.135,1.0675098802894354,0.0001727999999999,1.2030122802894352,0.1355023999999998,88.73640758119285,0.02739789155939463,11.221830584100111,0.014363943147639831,20.52737402667115,39.537402973682795,5.0,412.0,216.0,0.1647193039182531
traditional-spec-sampling / kv-cache,5.0,5.017357606440783,25.0,0.0003071999999999,0.125,0.8644748963415623,0.0001599999999999,0.9899420963415622,0.1254671999999998,87.32580415928594,0.031032118053691302,12.627001161174073,0.01616256148629271,19.730347605097418,34.57899585366249,5.0,384.0,200.0,0.1910298055389235
traditional-spec-sampling / kv-cache,5.0,4.3752215430140495,26.0,0.0003135999999999,0.13,0.785880146548152,0.0001663999999999,0.9163601465481518,0.1304799999999998,85.76105688451135,0.034222352552236546,14.186561963622992,0.018158799313426517,20.94431419161645,30.22615948262123,5.0,392.0,208.0,0.2161228224002905
traditional-spec-sampling / kv-cache,5.0,4.753149338066578,26.0,0.0003167999999999,0.13,0.8307793624699116,0.0001663999999999,0.9612625624699114,0.1304831999999998,86.42585230150539,0.03295665641923053,13.523880475067305,0.017310567008075747,20.22369789165768,31.953052402688904,5.0,396.0,208.0,0.1990668198034473
traditional-spec-sampling / kv-cache,5.0,3.9711260199546814,22.0,0.0002719999999999,0.11,0.6928151268512011,0.0001407999999999,0.8032279268512009,0.1104127999999998,86.25386440025335,0.033863364420879796,13.694742964331425,0.017529270994331773,20.226704537076547,31.49159667505459,5.0,340.0,176.0,0.2450843099219191
traditional-spec-sampling / kv-cache,5.0,4.33419481664896,25.0,0.0003007999999999,0.125,0.7771278228610754,0.0001599999999999,0.9025886228610752,0.12546079999999982,86.09989126582305,0.03332636733735991,13.849055575702703,0.017726791136888385,20.824828164021557,31.085112914443016,5.0,376.0,200.0,0.2174224856126842
traditional-spec-sampling / kv-cache,5.0,4.519922284409404,25.0,0.0003007999999999,0.125,0.8169910367578268,0.0001599999999999,0.9424518367578266,0.12546079999999982,86.68782901080617,0.03191675035985885,13.263277243961713,0.01697699487226038,20.851062860275977,32.67964147031307,5.0,376.0,200.0,0.2352763064147125
