group,method,rtt_ms,method_time,rounds,uplink_transfer_time,network_wait_time,cloud_verify_time,downlink_transfer_time,edge_cloud_cycle_time,network_only_time,cloud_verify_share_of_cycle_percent,uplink_share_of_cycle_percent,wait_share_of_cycle_percent,downlink_share_of_cycle_percent,network_cycle_share_of_method_time_percent,cloud_verify_per_round_ms,network_wait_per_round_ms,upload_payload_bytes,downlink_payload_bytes,speedup_vs_target_only
Qwen2.5-1.5B,target-only-sampling / kv-cache,0.0,0.9318089238678416,0.0,0.0,0.0,0.8672035437698166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,5.0,0.9318089238678416,0.0,0.0,0.0,0.8672035437698166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,10.0,0.9318089238678416,0.0,0.0,0.0,0.8672035437698166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,20.0,0.9318089238678416,0.0,0.0,0.0,0.8672035437698166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,50.0,0.9318089238678416,0.0,0.0,0.0,0.8672035437698166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,100.0,0.9318089238678416,0.0,0.0,0.0,0.8672035437698166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,150.0,0.9318089238678416,0.0,0.0,0.0,0.8672035437698166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,200.0,0.9318089238678416,0.0,0.0,0.0,0.8672035437698166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,0.0,7.148416642161707,32.0,0.0003903999999999,0.0,3.261688522808254,0.0002047999999999,3.2622837228082537,0.0005951999999998,99.98175511235156,0.0119670768446784,0.0,0.0062778108037642,45.63645190414821,101.92776633775792,0.0,488.0,256.0,0.1303428753945504
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,5.0,7.504217876431842,32.0,0.0003903999999999,0.1600000000000001,3.3663854133337736,0.0002047999999999,3.5269806133337736,0.1605951999999998,95.44666621095482,0.0110689579217983,4.53645816467261,0.0058066664507781,46.999976165548205,105.19954416668044,5.000000000000003,488.0,256.0,0.1242265119570712
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,10.0,7.696121648636957,32.0,0.0003903999999999,0.3200000000000002,3.368732487907012,0.0002047999999999,3.689327687907012,0.3205951999999999,91.31019993017004,0.0105818737999219,8.673667049118615,0.0055511469114332,47.93749184773373,105.27289024709413,10.000000000000004,488.0,256.0,0.1210947570997465
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,20.0,8.352439401236673,32.0,0.0003903999999999,0.6400000000000003,3.518932392510275,0.0002047999999999,4.159527592510275,0.6405952000000001,84.5993280305805,0.0093856812178109,15.386362652153013,0.0049236360486865,49.8001528977799,109.96663726594608,20.00000000000001,488.0,256.0,0.1115896211626691
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,50.0,9.076948067297538,32.0,0.0003903999999999,1.5999999999999983,3.416174774865309,0.0002047999999999,5.016769974865308,1.600595199999998,68.09510485792262,0.007781899548033,31.89303093456972,0.0040823079596229,55.26934755680431,106.75546171454091,49.99999999999995,488.0,256.0,0.1027280940329357
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,100.0,10.847135823654632,32.0,0.0003903999999999,3.1999999999999966,3.5058172354474664,0.0002047999999999,6.706412435447462,3.2005951999999964,52.27559845435532,0.0058212942278407,47.71552645772356,0.0030537936932928,61.826573802299166,109.55678860773332,99.9999999999999,488.0,256.0,0.0859505420572095
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,150.0,12.64752373471856,32.0,0.0003903999999999,4.800000000000006,3.5794427764291563,0.0002047999999999,8.380037976429163,4.800595200000005,42.71392070653122,0.0046586901049612,57.27897670035792,0.0024439030058807,66.25832971101863,111.85758676341112,150.0000000000002,488.0,256.0,0.0736684798159459
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,200.0,14.352027679172656,32.0,0.0003903999999999,6.399999999999993,3.638294872952004,0.0002047999999999,10.038890072952,6.400595199999993,36.24200331423831,0.0038888761323501,63.75206774346154,0.0020400661677897,69.94753840615994,113.69671477975012,199.9999999999998,488.0,256.0,0.0649117976340185
