method_name,implementation,model_pair,rtt_ms,target_verify_mode,upload_token_bytes,upload_bandwidth_mbps,uplink_bandwidth_mbps,downlink_token_bytes,downlink_fixed_bytes,downlink_bandwidth_mbps,temperature,top_k,top_p,sampling_filter,stochastic_seed,seed_strategy,method_time,target_only_time,speedup_vs_target_only,accept_rate,rounds,generated_tokens,accepted_tokens,drafted_tokens,wasted_branch_time_or_tokens,rejected_tokens,resample_count,bonus_sample_count,mean_checked_accept_prob,mean_first_accept_prob,first_token_accept_rate,target_zero_at_draft_count,target_zero_at_draft_rate,upload_wait_time,upload_latency_time,upload_transfer_time,upload_payload_bytes,uplink_transfer_time,network_wait_time,downlink_transfer_time,downlink_payload_bytes,prefill_time,draft_generate_time,draft_structure_time,cloud_verify_time,posterior_accept_time,cache_update_time,probability_normalize_time,random_sample_time,accept_reject_time,resample_time,sampling_time,target_verify_time,drafted_tokens_per_round,accepted_tokens_per_round
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,3010139,per-repeat,1.3460441455245018,1.3460441455245018,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0376085229218006,0.0,0.0,1.248034916818142,0.0,0.0076196677982807,0.0342525038868188,0.0144160464406013,0.0,0.0,0.0,1.248034916818142,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,3020146,per-repeat,1.0139182601124048,1.0139182601124048,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0398159120231866,0.0,0.0,0.9350742027163506,0.0,0.0052806474268436,0.0214970558881759,0.0089000239968299,0.0,0.0,0.0,0.9350742027163506,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4000135,per-repeat,0.9563081879168748,0.9563081879168748,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0270079281181097,0.0,0.0,0.8955968450754881,0.0,0.0041252244263887,0.0180359072983264,0.008396029472351,0.0,0.0,0.0,0.8955968450754881,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4010142,per-repeat,0.9544175527989864,0.9544175527989864,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267987865954637,0.0,0.0,0.8792648054659367,0.0,0.0065779387950897,0.0274956040084362,0.011362062767148,0.0,0.0,0.0,0.8792648054659367,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4020149,per-repeat,0.926321839913726,0.926321839913726,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0270213522017002,0.0,0.0,0.8668605275452137,0.0,0.0029449928551912,0.0176475699990987,0.0089859440922737,0.0,0.0,0.0,0.8668605275452137,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5000138,per-repeat,0.9653419144451618,0.9653419144451618,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0292180031538009,0.0,0.0,0.9035597741603852,0.0,0.0032503772526979,0.0185979288071393,0.0077319610863924,0.0,0.0,0.0,0.9035597741603852,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5010145,per-repeat,0.9584648478776217,0.9584648478776217,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273382198065519,0.0,0.0,0.8928247019648552,0.0,0.0030758418142795,0.02440139465034,0.0078423786908388,0.0,0.0,0.0,0.8928247019648552,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5020152,per-repeat,0.9455852285027504,0.9455852285027504,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267773531377315,0.0,0.0,0.8805588372051716,0.0,0.0056478399783372,0.0212912112474441,0.0084290616214275,0.0,0.0,0.0,0.8805588372051716,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,6000141,per-repeat,0.9461943227797748,0.9461943227797748,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0399530138820409,0.0,0.0,0.8749278038740158,0.0,0.0029491186141967,0.0175210777670145,0.007883695885539,0.0,0.0,0.0,0.8749278038740158,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,6010148,per-repeat,0.9732606802135706,0.9732606802135706,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325098149478435,0.0,0.0,0.9047785755246878,0.0,0.0031902678310871,0.0222452357411384,0.0075034629553556,0.0,0.0,0.0,0.9047785755246878,0.0,0.0
