method_name,implementation,model_pair,rtt_ms,method_time,speedup_vs_target_only,prefill_time,prefill_time_share,draft_generate_time,draft_generate_time_share,draft_structure_time,draft_structure_time_share,uplink_transfer_time,uplink_transfer_time_share,network_wait_time,network_wait_time_share,cloud_verify_time,cloud_verify_time_share,downlink_transfer_time,downlink_transfer_time_share,posterior_accept_time,posterior_accept_time_share,cache_update_time,cache_update_time_share,probability_normalize_time,probability_normalize_time_share,random_sample_time,random_sample_time_share,accept_reject_time,accept_reject_time_share,resample_time,resample_time_share,sampling_time,sampling_time_share,prefill_time_percent,draft_generate_time_percent,draft_structure_time_percent,uplink_transfer_time_percent,network_wait_time_percent,cloud_verify_time_percent,downlink_transfer_time_percent,posterior_accept_time_percent,cache_update_time_percent,probability_normalize_time_percent,random_sample_time_percent,accept_reject_time_percent,resample_time_percent,sampling_time_percent
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,0.952108547091484,1.0,0.0290975682437419,0.03056118793663769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890121228992939,0.9348946942153762,0.0,0.0,0.0,0.0,0.004056379199028,0.004260416747039496,0.017198871821165,0.018063982172730603,0.008632943034172,0.009067183632101666,0.0,0.0,0.0,0.0,0.0,0.0,3.056118793663769,0.0,0.0,0.0,0.0,93.48946942153762,0.0,0.0,0.4260416747039496,1.8063982172730604,0.9067183632101665,0.0,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,0.9761549457907676,1.0,0.0399701800197362,0.040946552790711924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.900367122143507,0.9223608670180264,0.0,0.0,0.0,0.0,0.0054123550653457,0.005544565530999013,0.0182918664067983,0.018738691521949263,0.0090971775352954,0.009319399112326293,0.0,0.0,0.0,0.0,0.0,0.0,4.094655279071192,0.0,0.0,0.0,0.0,92.23608670180265,0.0,0.0,0.5544565530999014,1.8738691521949264,0.9319399112326293,0.0,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,0.9313504695892334,1.0,0.0271353833377361,0.029135523332805103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8734618369489908,0.9378444156840614,0.0,0.0,0.0,0.0,0.0032454207539558,0.0034846396280738155,0.0173986889421939,0.018681140462480778,0.0073276441544294,0.00786776234478221,0.0,0.0,0.0,0.0,0.0,0.0,2.9135523332805104,0.0,0.0,0.0,0.0,93.78444156840614,0.0,0.0,0.34846396280738157,1.8681140462480779,0.786776234478221,0.0,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,1.25751412846148,1.0,0.0464616250246763,0.036947199218763695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167254330590367,0.928223631187713,0.0,0.0,0.0,0.0,0.0049715489149093,0.003953473605097224,0.023547975346446,0.018725813741159347,0.0116375461220741,0.009254405862073446,0.0,0.0,0.0,0.0,0.0,0.0,3.6947199218763696,0.0,0.0,0.0,0.0,92.8223631187713,0.0,0.0,0.3953473605097224,1.8725813741159347,0.9254405862073446,0.0,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,0.9571876004338264,1.0,0.0279391035437583,0.029188743701961298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8876069355756044,0.9273071811349354,0.0,0.0,0.0,0.0,0.0040686447173357,0.004250624136263014,0.0269981417804956,0.02820569527672446,0.0074423216283321,0.007775196445251709,0.0,0.0,0.0,0.0,0.0,0.0,2.91887437019613,0.0,0.0,0.0,0.0,92.73071811349354,0.0,0.0,0.42506241362630137,2.820569527672446,0.7775196445251709,0.0,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,0.9851565752178432,1.0,0.0284609142690897,0.02888973690582765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9207061547785996,0.9345785004530961,0.0,0.0,0.0,0.0,0.0061684772372245,0.00626141812621054,0.0187964141368865,0.0190796210569169,0.0080343969166278,0.00815545175126217,0.0,0.0,0.0,0.0,0.0,0.0,2.888973690582765,0.0,0.0,0.0,0.0,93.45785004530961,0.0,0.0,0.626141812621054,1.90796210569169,0.8155451751262169,0.0,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,0.935472384095192,1.0,0.0268466379493474,0.028698482612411928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8752412963658571,0.9356142535542707,0.0,0.0,0.0,0.0,0.005108693614602,0.005461084369201591,0.0176883358508348,0.01890845326016045,0.0075429677963256,0.008063271481414508,0.0,0.0,0.0,0.0,0.0,0.0,2.869848261241193,0.0,0.0,0.0,0.0,93.56142535542708,0.0,0.0,0.5461084369201591,1.8908453260160452,0.8063271481414508,0.0,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,0.9713849276304244,1.0,0.026286419481039,0.027060765236662183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90785919316113,0.9346029234525414,0.0,0.0,0.0,0.0,0.0044606812298297,0.004592084047166544,0.0196830630302429,0.02026288700840494,0.0100052803754806,0.010300016081047568,0.0,0.0,0.0,0.0,0.0,0.0,2.7060765236662183,0.0,0.0,0.0,0.0,93.46029234525413,0.0,0.0,0.45920840471665436,2.026288700840494,1.030001608104757,0.0,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,0.9912082776427268,1.0,0.0404701791703701,0.04082913761234474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9139112457633018,0.9220173664577829,0.0,0.0,0.0,0.0,0.0045979376882314,0.00463872002680015,0.020943459123373,0.021129221371294787,0.0082166120409965,0.00828949094385803,0.0,0.0,0.0,0.0,0.0,0.0,4.082913761234474,0.0,0.0,0.0,0.0,92.20173664577828,0.0,0.0,0.46387200268001494,2.1129221371294786,0.828949094385803,0.0,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,0.9327530656009912,1.0,0.0369114875793457,0.03957262531810914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.860676197335124,0.9227267420242391,0.0,0.0,0.0,0.0,0.0053351763635873,0.005719816487710754,0.0188710447400808,0.02023155477695676,0.0081471111625432,0.008734478033898345,0.0,0.0,0.0,0.0,0.0,0.0,3.9572625318109145,0.0,0.0,0.0,0.0,92.27267420242391,0.0,0.0,0.5719816487710754,2.023155477695676,0.8734478033898344,0.0,0.0,0.0
